"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position","go_id","name_1006","PUBMED"
"314","TOP3B",8940,"22",21957025,21982816,"GO:0003916","DNA topoisomerase activity",NA
"315","TOP2B",7155,"3",25597905,25664907,"GO:0003916","DNA topoisomerase activity",NA
"316","TOP1",7150,"20",41028818,41124487,"GO:0003916","DNA topoisomerase activity",NA
"317","TOP3A",7156,"17",18271428,18315007,"GO:0003916","DNA topoisomerase activity",NA
"318","TOP1MT",116447,"8",143304384,143359979,"GO:0003916","DNA topoisomerase activity",NA
"319","TOP2A",7153,"17",40388516,40417950,"GO:0003916","DNA topoisomerase activity",NA
"320","TOP3A",7156,"CHR_HSCHR17_3_CTG1",18271428,18315007,"GO:0003916","DNA topoisomerase activity",NA
"321","BEND3",57673,"6",107065182,107115269,"GO:0006306","DNA methyltransferases",NA
"322","CTCF",10664,"16",67562407,67639183,"GO:0006306","DNA methyltransferases",NA
"323","EHMT2",10919,"CHR_HSCHR6_MHC_COX_CTG1",31867303,31885231,"GO:0006306","DNA methyltransferases",NA
"324","KMT2E",55904,"7",105014179,105114361,"GO:0006306","DNA methyltransferases",NA
"325","DNMT3B",1789,"20",32762385,32809356,"GO:0006306","DNA methyltransferases",NA
"326","MTA2",9219,"11",62593214,62601840,"GO:0006306","DNA methyltransferases",NA
"327","EHMT2",10919,"CHR_HSCHR6_MHC_QBL_CTG1",31870139,31888078,"GO:0006306","DNA methyltransferases",NA
"328","EHMT2",10919,"CHR_HSCHR6_MHC_MCF_CTG1",31956231,31974166,"GO:0006306","DNA methyltransferases",NA
"329","ATF7IP",55729,"12",14365632,14502935,"GO:0006306","DNA methyltransferases",NA
"330","EHMT2",10919,"CHR_HSCHR6_MHC_APD_CTG1",31946781,31964716,"GO:0006306","DNA methyltransferases",NA
"331","EHMT2",10919,"6",31879759,31897687,"GO:0006306","DNA methyltransferases",NA
"332","BAZ2A",11176,"12",56595596,56636816,"GO:0006306","DNA methyltransferases",NA
"333","DNMT3L",29947,"21",44246339,44262216,"GO:0006306","DNA methyltransferases",NA
"334","GATAD2A",54815,"19",19385826,19508931,"GO:0006306","DNA methyltransferases",NA
"335","HELLS",3070,"10",94501434,94613905,"GO:0006306","DNA methyltransferases",NA
"336","GNAS",2778,"20",58839718,58911192,"GO:0006306","DNA methyltransferases",NA
"337","PPM1D",8493,"17",60600183,60666280,"GO:0006306","DNA methyltransferases",NA
"338","KMT2A",4297,"11",118436490,118526832,"GO:0006306","DNA methyltransferases",NA
"339","MGMT",4255,"10",129467184,129768007,"GO:0006306","DNA methyltransferases",NA
"340","HEMK1",51409,"3",50569152,50596168,"GO:0006306","DNA methyltransferases",NA
"341","ATRX",546,"X",77504878,77786269,"GO:0006306","DNA methyltransferases",NA
"342","DMAP1",55929,"1",44213455,44220681,"GO:0006306","DNA methyltransferases",NA
"343","EHMT2",10919,"CHR_HSCHR6_MHC_DBB_CTG1",31861940,31879868,"GO:0006306","DNA methyltransferases",NA
"344","DNMT1",1786,"19",10133345,10231286,"GO:0006306","DNA methyltransferases",NA
"345","DNMT3A",1788,"2",25227855,25342590,"GO:0006306","DNA methyltransferases",NA
"346","FOS",2353,"14",75278774,75282230,"GO:0006306","DNA methyltransferases",NA
"347","EHMT1",79813,"9",137618963,137870016,"GO:0006306","DNA methyltransferases",NA
"348","EZH2",2146,"7",148807383,148884321,"GO:0006306","DNA methyltransferases",NA
"349","MTRR",4552,"5",7851186,7906025,"GO:0006306","DNA methyltransferases",NA
"350","APOBEC1",339,"12",7649400,7665903,"GO:0080111","DNA demethylation",NA
"351","APOBEC2",10930,"6",41053304,41064511,"GO:0080111","DNA demethylation",NA
"352","TDG",6996,"12",103965804,103988874,"GO:0080111","DNA demethylation",NA
"353","FTO",79068,"16",53701692,54158512,"GO:0080111","DNA demethylation",NA
"354","TET3",200424,"2",73986404,74108176,"GO:0080111","DNA demethylation",NA
"355","APOBEC3A",200315,"22",38952741,38992778,"GO:0080111","DNA demethylation",NA
"356","APOBEC3C",27350,"22",39014083,39020352,"GO:0080111","DNA demethylation",NA
"357","APOBEC3F",200316,"22",39040604,39053910,"GO:0080111","DNA demethylation",NA
"358","APOBEC3A",200315,"CHR_HSCHR22_1_CTG2",38952742,38962839,"GO:0080111","DNA demethylation",NA
"359","AICDA",57379,"12",8602166,8612871,"GO:0080111","DNA demethylation",NA
"360","ALKBH2",121642,"12",109088188,109093631,"GO:0080111","DNA demethylation",NA
"361","ALKBH1",8846,"14",77672404,77708020,"GO:0080111","DNA demethylation",NA
"362","TET1",80312,"10",68560656,68694482,"GO:0080111","DNA demethylation",NA
"363","TET2",54790,"4",105145875,105279816,"GO:0080111","DNA demethylation",NA
"364","GCNA",93953,"X",71578411,71613583,"GO:0080111","DNA demethylation",NA
"365","APEX1",328,"14",20455191,20457772,"GO:0080111","DNA demethylation",NA
"366","H1F0",3005,"22",37805093,37807436,NA,"HISTONES","22650316"
"367","H1FNT",341567,"12",48328980,48330279,NA,"HISTONES","22650316"
"368","H1FOO",132243,"3",129543214,129551467,NA,"HISTONES","22650316"
"369","H1FX",8971,"3",129314771,129316277,NA,"HISTONES","22650316"
"370","H2AFB1",474382,"X",154884972,154885558,NA,"HISTONES","22650316"
"371","H2AFB2",474381,"X",155380787,155381134,NA,"HISTONES","22650316"
"372","H2AFB3",83740,"X",155459415,155460005,NA,"HISTONES","22650316"
"373","H2AFJ",55766,"12",14774383,14778002,NA,"HISTONES","22650316"
"374","H2AFV",94239,"7",44826791,44848083,NA,"HISTONES","22650316"
"375","H2AFX",3014,"11",119093854,119095467,NA,"HISTONES","22650316"
"376","H2AFY",9555,"5",135333900,135399914,NA,"HISTONES","22650316"
"377","H2AFY2",55506,"10",70052796,70112280,NA,"HISTONES","22650316"
"378","H2AFZ",3015,"4",99948086,99950388,NA,"HISTONES","22650316"
"379","H2BFM",286436,"X",104039949,104042454,NA,"HISTONES","22650316"
"380","H2BFS",54145,"21",43565189,43565648,NA,"HISTONES","22650316"
"381","H2BFWT",158983,"X",104011147,104013687,NA,"HISTONES","22650316"
"382","H3F3A",3020,"1",226061851,226072001,NA,"HISTONES","22650316"
"383","H3F3B",3021,"17",75776434,75785893,NA,"HISTONES","22650316"
"384","H3F3C",440093,"12",31791185,31792241,NA,"HISTONES","22650316"
"385","HIST1H1A",3024,"6",26017085,26017732,NA,"HISTONES","22650316"
"386","HIST1H1B",3009,"6",27866849,27867529,NA,"HISTONES","22650316"
"387","HIST1H1C",3006,"6",26055787,26056428,NA,"HISTONES","22650316"
"388","HIST1H1D",3007,"6",26234268,26234933,NA,"HISTONES","22650316"
"389","HIST1H1E",3008,"6",26156354,26157107,NA,"HISTONES","22650316"
"390","HIST1H1T",3010,"6",26107419,26108136,NA,"HISTONES","22650316"
"391","HIST1H2AA",221613,"6",25726132,25726527,NA,"HISTONES","22650316"
"392","HIST1H2AB",8335,"6",26033176,26033568,NA,"HISTONES","22650316"
"393","HIST1H2AC",8334,"6",26124145,26139116,NA,"HISTONES","22650316"
"394","HIST1H2AD",3013,"6",26198851,26199243,NA,"HISTONES","22650316"
"395","HIST1H2AE",3012,"6",26216975,26217483,NA,"HISTONES","22650316"
"396","HIST1H2AG",8969,"6",27133042,27135291,NA,"HISTONES","22650316"
"397","HIST1H2AH",85235,"6",27147129,27147515,NA,"HISTONES","22650316"
"398","HIST1H2AI",8329,"6",27808199,27808701,NA,"HISTONES","22650316"
"399","HIST1H2AJ",8331,"6",27814354,27814740,NA,"HISTONES","22650316"
"400","HIST1H2AK",8330,"6",27837947,27838339,NA,"HISTONES","22650316"
"401","HIST1H2AL",8332,"6",27865355,27865747,NA,"HISTONES","22650316"
"402","HIST1H2AM",8336,"6",27892757,27893149,NA,"HISTONES","22650316"
"403","HIST1H2BA",255626,"6",25726777,25727292,NA,"HISTONES","22650316"
"404","HIST1H2BB",3018,"6",26043277,26043657,NA,"HISTONES","22650316"
"405","HIST1H2BC",8347,"6",26114873,26123926,NA,"HISTONES","22650316"
"406","HIST1H2BD",3017,"6",26158146,26171349,NA,"HISTONES","22650316"
"407","HIST1H2BE",8344,"6",26172059,26184655,NA,"HISTONES","22650316"
"408","HIST1H2BF",8343,"6",26199520,26200715,NA,"HISTONES","22650316"
"409","HIST1H2BG",8339,"6",26215159,26216692,NA,"HISTONES","22650316"
"410","HIST1H2BH",8345,"6",26251651,26253710,NA,"HISTONES","22650316"
"411","HIST1H2BI",8346,"6",26272976,26273356,NA,"HISTONES","22650316"
"412","HIST1H2BJ",8970,"6",27125897,27132750,NA,"HISTONES","22650316"
"413","HIST1H2BK",85236,"6",27146418,27146798,NA,"HISTONES","22650316"
"414","HIST1H2BL",8340,"6",27807444,27807931,NA,"HISTONES","22650316"
"415","HIST1H2BM",8342,"6",27815044,27815424,NA,"HISTONES","22650316"
"416","HIST1H2BN",8341,"6",27837760,27865798,NA,"HISTONES","22650316"
"417","HIST1H2BO",8348,"6",27893463,27893843,NA,"HISTONES","22650316"
"418","HIST1H3A",8350,"6",26020490,26020900,NA,"HISTONES","22650316"
"419","HIST1H3B",8358,"6",26031650,26032060,NA,"HISTONES","22650316"
"420","HIST1H3C",8352,"6",26045411,26045821,NA,"HISTONES","22650316"
"421","HIST1H3D",8351,"6",26196840,26197250,NA,"HISTONES","22650316"
"422","HIST1H3E",8353,"6",26224199,26227473,NA,"HISTONES","22650316"
"423","HIST1H3F",8968,"6",26250195,26250605,NA,"HISTONES","22650316"
"424","HIST1H3G",8355,"6",26269405,26271815,NA,"HISTONES","22650316"
"425","HIST1H3H",8357,"6",27810064,27811300,NA,"HISTONES","22650316"
"426","HIST1H3I",8354,"6",27871905,27872315,NA,"HISTONES","22650316"
"427","HIST1H3J",8356,"6",27890382,27893106,NA,"HISTONES","22650316"
"428","HIST1H4A",8359,"6",26021679,26021990,NA,"HISTONES","22650316"
"429","HIST1H4B",8366,"6",26026815,26027252,NA,"HISTONES","22650316"
"430","HIST1H4C",8364,"6",26103876,26104310,NA,"HISTONES","22650316"
"431","HIST1H4D",8360,"6",26188765,26189076,NA,"HISTONES","22650316"
"432","HIST1H4E",8367,"6",26204552,26206038,NA,"HISTONES","22650316"
"433","HIST1H4F",8361,"6",26240426,26240737,NA,"HISTONES","22650316"
"434","HIST1H4G",8369,"6",26246681,26246977,NA,"HISTONES","22650316"
"435","HIST1H4H",8365,"6",26277609,26285638,NA,"HISTONES","22650316"
"436","HIST1H4I",8294,"6",27138588,27139881,NA,"HISTONES","22650316"
"437","HIST1H4J",8363,"6",27824108,27824480,NA,"HISTONES","22650316"
"438","HIST1H4K",8362,"6",27831216,27831527,NA,"HISTONES","22650316"
"439","HIST1H4L",8368,"6",27873199,27873510,NA,"HISTONES","22650316"
"440","HIST2H2AA3",8337,"1",149842188,149842736,NA,"HISTONES","22650316"
"441","HIST2H2AA4",723790,"1",149851061,149851624,NA,"HISTONES","22650316"
"442","HIST2H2AB",317772,"1",149887524,149887916,NA,"HISTONES","22650316"
"443","HIST2H2AC",8338,"1",149886975,149887364,NA,"HISTONES","22650316"
"444","HIST2H2BE",8349,"1",149884459,149886652,NA,"HISTONES","22650316"
"445","HIST2H2BF",440689,"1",149782689,149812373,NA,"HISTONES","22650316"
"446","HIST2H3A",333932,"1",149852619,149854274,NA,"HISTONES","22650316"
"447","HIST2H3C",126961,"1",149839538,149841193,NA,"HISTONES","22650316"
"448","HIST2H3D",653604,"1",149813271,149813681,NA,"HISTONES","22650316"
"449","HIST2H3PS2",440686,"1",143905556,143905966,NA,"HISTONES","22650316"
"450","HIST2H4A",8370,"1",149832659,149839767,NA,"HISTONES","22650316"
"451","HIST2H4B",554313,"1",149854045,149861210,NA,"HISTONES","22650316"
"452","HIST3H2A",92815,"1",228456979,228457873,NA,"HISTONES","22650316"
"453","HIST3H2BB",128312,"1",228458107,228460470,NA,"HISTONES","22650316"
"454","HIST3H3",8290,"1",228424845,228425325,NA,"HISTONES","22650316"
"455","HIST4H4",121504,"12",14767999,14771131,NA,"HISTONES","22650316"
"456","FOXA1",3169,"14",37589984,37596059,NA,"PIONEER_TF","11864602"
